9606	7157	-	TP53	tumor protein p53	protein-coding	8484
9606	7124	-	TNF	tumor necrosis factor	protein-coding	5316
9606	1956	-	EGFR	epidermal growth factor receptor	protein-coding	4684
9606	7422	-	VEGFA	vascular endothelial growth factor A	protein-coding	4062
9606	348	-	APOE	apolipoprotein E	protein-coding	3979
9606	3569	-	IL6	interleukin 6	protein-coding	3923
9606	7040	-	TGFB1	transforming growth factor beta 1	protein-coding	3714
9606	4524	-	MTHFR	methylenetetrahydrofolate reductase	protein-coding	3258
9606	2099	-	ESR1	estrogen receptor 1	protein-coding	2866
9606	207	-	AKT1	AKT serine/threonine kinase 1	protein-coding	2791
9606	4790	-	NFKB1	nuclear factor kappa B subunit 1	protein-coding	2757
9606	3586	-	IL10	interleukin 10	protein-coding	2716
9606	3091	-	HIF1A	hypoxia inducible factor 1 alpha subunit	protein-coding	2590
9606	3123	-	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	protein-coding	2562
9606	672	-	BRCA1	BRCA1, DNA repair associated	protein-coding	2533
9606	4318	-	MMP9	matrix metallopeptidase 9	protein-coding	2480
9606	3553	-	IL1B	interleukin 1 beta	protein-coding	2462
9606	2064	-	ERBB2	erb-b2 receptor tyrosine kinase 2	protein-coding	2451
9606	1636	-	ACE	angiotensin I converting enzyme	protein-coding	2415
9606	110806262	-	LOC110806262	solute carrier family 6 member 4 gene promoter	biological-region	2408
9606	351	-	APP	amyloid beta precursor protein	protein-coding	2367
9606	1499	-	CTNNB1	catenin beta 1	protein-coding	2227
9606	6774	-	STAT3	signal transducer and activator of transcription 3	protein-coding	2157
9606	1029	-	CDKN2A	cyclin dependent kinase inhibitor 2A	protein-coding	2100
9606	6532	-	SLC6A4	solute carrier family 6 member 4	protein-coding	2062
9606	2944	-	GSTM1	glutathione S-transferase mu 1	protein-coding	2048
9606	5243	-	ABCB1	ATP binding cassette subfamily B member 1	protein-coding	2045
9606	367	-	AR	androgen receptor	protein-coding	2038
9606	5743	-	PTGS2	prostaglandin-endoperoxide synthase 2	protein-coding	2029
9606	7099	-	TLR4	toll like receptor 4	protein-coding	2017
9606	3845	-	KRAS	KRAS proto-oncogene, GTPase	protein-coding	1972
9606	3576	-	CXCL8	C-X-C motif chemokine ligand 8	protein-coding	1968
9606	920	-	CD4	CD4 molecule	protein-coding	1959
9606	9370	-	ADIPOQ	adiponectin, C1Q and collagen domain containing	protein-coding	1932
9606	3106	-	HLA-B	major histocompatibility complex, class I, B	protein-coding	1926
9606	5594	-	MAPK1	mitogen-activated protein kinase 1	protein-coding	1881
9606	1401	-	CRP	C-reactive protein	protein-coding	1867
9606	4846	-	NOS3	nitric oxide synthase 3	protein-coding	1858
9606	5468	-	PPARG	peroxisome proliferator activated receptor gamma	protein-coding	1857
9606	5728	-	PTEN	phosphatase and tensin homolog	protein-coding	1849
9606	673	-	BRAF	B-Raf proto-oncogene, serine/threonine kinase	protein-coding	1839
9606	596	-	BCL2	BCL2, apoptosis regulator	protein-coding	1735
9606	3458	-	IFNG	interferon gamma	protein-coding	1726
9606	2952	-	GSTT1	glutathione S-transferase theta 1	protein-coding	1713
9606	7421	-	VDR	vitamin D receptor	protein-coding	1703
9606	627	-	BDNF	brain derived neurotrophic factor	protein-coding	1698
9606	999	-	CDH1	cadherin 1	protein-coding	1692
9606	7852	-	CXCR4	C-X-C motif chemokine receptor 4	protein-coding	1686
9606	1312	-	COMT	catechol-O-methyltransferase	protein-coding	1662
9606	4609	-	MYC	MYC proto-oncogene, bHLH transcription factor	protein-coding	1654
9606	4193	-	MDM2	MDM2 proto-oncogene	protein-coding	1642
9606	3479	-	IGF1	insulin like growth factor 1	protein-coding	1590
9606	2475	-	MTOR	mechanistic target of rapamycin kinase	protein-coding	1578
9606	4313	-	MMP2	matrix metallopeptidase 2	protein-coding	1564
9606	675	-	BRCA2	BRCA2, DNA repair associated	protein-coding	1549
9606	1080	-	CFTR	cystic fibrosis transmembrane conductance regulator	protein-coding	1488
9606	1026	-	CDKN1A	cyclin dependent kinase inhibitor 1A	protein-coding	1476
9606	7015	-	TERT	telomerase reverse transcriptase	protein-coding	1471
9606	3952	-	LEP	leptin	protein-coding	1452
9606	1234	-	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	protein-coding	1450
9606	2950	-	GSTP1	glutathione S-transferase pi 1	protein-coding	1446
9606	3105	-	HLA-A	major histocompatibility complex, class I, A	protein-coding	1422
9606	6622	-	SNCA	synuclein alpha	protein-coding	1419
9606	3119	-	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	protein-coding	1418
9606	4137	-	MAPT	microtubule associated protein tau	protein-coding	1385
9606	595	-	CCND1	cyclin D1	protein-coding	1361
9606	3717	-	JAK2	Janus kinase 2	protein-coding	1334
9606	2147	-	F2	coagulation factor II, thrombin	protein-coding	1325
9606	5595	-	MAPK3	mitogen-activated protein kinase 3	protein-coding	1279
9606	5970	-	RELA	RELA proto-oncogene, NF-kB subunit	protein-coding	1269
9606	7097	-	TLR2	toll like receptor 2	protein-coding	1262
9606	6347	-	CCL2	C-C motif chemokine ligand 2	protein-coding	1257
9606	5054	-	SERPINE1	serpin family E member 1	protein-coding	1244
9606	2153	-	F5	coagulation factor V	protein-coding	1239
9606	6714	-	SRC	SRC proto-oncogene, non-receptor tyrosine kinase	protein-coding	1227
9606	1432	-	MAPK14	mitogen-activated protein kinase 14	protein-coding	1227
9606	5290	-	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein-coding	1183
9606	6387	-	CXCL12	C-X-C motif chemokine ligand 12	protein-coding	1150
9606	3688	-	ITGB1	integrin subunit beta 1	protein-coding	1132
9606	355	-	FAS	Fas cell surface death receptor	protein-coding	1116
9606	472	-	ATM	ATM serine/threonine kinase	protein-coding	1112
9606	7515	-	XRCC1	X-ray repair cross complementing 1	protein-coding	1108
9606	332	-	BIRC5	baculoviral IAP repeat containing 5	protein-coding	1100
9606	3383	-	ICAM1	intercellular adhesion molecule 1	protein-coding	1099
9606	5925	-	RB1	RB transcriptional corepressor 1	protein-coding	1094
9606	3565	-	IL4	interleukin 4	protein-coding	1084
9606	2932	-	GSK3B	glycogen synthase kinase 3 beta	protein-coding	1084
9606	3725	-	JUN	Jun proto-oncogene, AP-1 transcription factor subunit	protein-coding	1071
9606	1813	-	DRD2	dopamine receptor D2	protein-coding	1069
9606	4851	-	NOTCH1	notch 1	protein-coding	1058
9606	836	-	CASP3	caspase 3	protein-coding	1056
9606	3690	-	ITGB3	integrin subunit beta 3	protein-coding	1047
9606	2100	-	ESR2	estrogen receptor 2	protein-coding	1043
9606	5444	-	PON1	paraoxonase 1	protein-coding	1030
9606	2033	-	EP300	E1A binding protein p300	protein-coding	1026
9606	960	-	CD44	CD44 molecule (Indian blood group)	protein-coding	1016
9606	3605	-	IL17A	interleukin 17A	protein-coding	1011
9606	1543	-	CYP1A1	cytochrome P450 family 1 subfamily A member 1	protein-coding	1007
9606	183	-	AGT	angiotensinogen	protein-coding	1004
9606	6667	-	SP1	Sp1 transcription factor	protein-coding	1000
9606	1493	-	CTLA4	cytotoxic T-lymphocyte associated protein 4	protein-coding	1000
9606	6647	-	SOD1	superoxide dismutase 1	protein-coding	995
9606	5879	-	RAC1	Rac family small GTPase 1	protein-coding	987
9606	4233	-	MET	MET proto-oncogene, receptor tyrosine kinase	protein-coding	985
9606	2908	-	NR3C1	nuclear receptor subfamily 3 group C member 1	protein-coding	976
9606	154	-	ADRB2	adrenoceptor beta 2	protein-coding	965
9606	23411	-	SIRT1	sirtuin 1	protein-coding	963
9606	3815	-	KIT	KIT proto-oncogene receptor tyrosine kinase	protein-coding	947
9606	4780	-	NFE2L2	nuclear factor, erythroid 2 like 2	protein-coding	945
9606	3557	-	IL1RN	interleukin 1 receptor antagonist	protein-coding	944
9606	7316	-	UBC	ubiquitin C	protein-coding	933
9606	581	-	BAX	BCL2 associated X, apoptosis regulator	protein-coding	929
9606	1565	-	CYP2D6	cytochrome P450 family 2 subfamily D member 6	protein-coding	922
9606	3065	-	HDAC1	histone deacetylase 1	protein-coding	918
9606	3107	-	HLA-C	major histocompatibility complex, class I, C	protein-coding	915
9606	1027	-	CDKN1B	cyclin dependent kinase inhibitor 1B	protein-coding	914
9606	3480	-	IGF1R	insulin like growth factor 1 receptor	protein-coding	913
9606	4879	-	NPPB	natriuretic peptide B	protein-coding	911
9606	5599	-	MAPK8	mitogen-activated protein kinase 8	protein-coding	908
9606	142	-	PARP1	poly(ADP-ribose) polymerase 1	protein-coding	905
9606	3077	-	HFE	hemochromatosis	protein-coding	902
9606	3162	-	HMOX1	heme oxygenase 1	protein-coding	899
9606	335	-	APOA1	apolipoprotein A1	protein-coding	894
9606	3320	-	HSP90AA1	heat shock protein 90 alpha family class A member 1	protein-coding	882
9606	3606	-	IL18	interleukin 18	protein-coding	879
9606	3552	-	IL1A	interleukin 1 alpha	protein-coding	874
9606	4292	-	MLH1	mutL homolog 1	protein-coding	873
9606	406991	-	MIR21	microRNA 21	ncRNA	870
9606	6696	-	SPP1	secreted phosphoprotein 1	protein-coding	869
9606	1557	-	CYP2C19	cytochrome P450 family 2 subfamily C member 19	protein-coding	867
9606	185	-	AGTR1	angiotensin II receptor type 1	protein-coding	849
9606	387	-	RHOA	ras homolog family member A	protein-coding	846
9606	3791	-	KDR	kinase insert domain receptor	protein-coding	844
9606	64127	-	NOD2	nucleotide binding oligomerization domain containing 2	protein-coding	842
9606	4312	-	MMP1	matrix metallopeptidase 1	protein-coding	839
9606	857	-	CAV1	caveolin 1	protein-coding	836
9606	1559	-	CYP2C9	cytochrome P450 family 2 subfamily C member 9	protein-coding	833
9606	6648	-	SOD2	superoxide dismutase 2	protein-coding	818
9606	7450	-	VWF	von Willebrand factor	protein-coding	817
9606	3630	-	INS	insulin	protein-coding	812
9606	5578	-	PRKCA	protein kinase C alpha	protein-coding	799
9606	50943	-	FOXP3	forkhead box P3	protein-coding	797
9606	3146	-	HMGB1	high mobility group box 1	protein-coding	795
9606	5747	-	PTK2	protein tyrosine kinase 2	protein-coding	794
9606	2068	-	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit	protein-coding	793
9606	841	-	CASP8	caspase 8	protein-coding	782
9606	6772	-	STAT1	signal transducer and activator of transcription 1	protein-coding	773
9606	51738	-	GHRL	ghrelin and obestatin prepropeptide	protein-coding	770
9606	3117	-	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	protein-coding	770
9606	5979	-	RET	ret proto-oncogene	protein-coding	768
9606	1906	-	EDN1	endothelin 1	protein-coding	766
9606	120892	-	LRRK2	leucine rich repeat kinase 2	protein-coding	761
9606	8743	-	TNFSF10	TNF superfamily member 10	protein-coding	759
9606	3135	-	HLA-G	major histocompatibility complex, class I, G	protein-coding	759
9606	1387	-	CREBBP	CREB binding protein	protein-coding	759
9606	177	-	AGER	advanced glycosylation end-product specific receptor	protein-coding	758
9606	1576	-	CYP3A4	cytochrome P450 family 3 subfamily A member 4	protein-coding	756
9606	324	-	APC	APC, WNT signaling pathway regulator	protein-coding	755
9606	25	-	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding	753
9606	3558	-	IL2	interleukin 2	protein-coding	749
9606	2885	-	GRB2	growth factor receptor bound protein 2	protein-coding	745
9606	6531	-	SLC6A3	solute carrier family 6 member 3	protein-coding	743
9606	338	-	APOB	apolipoprotein B	protein-coding	743
