	Log2FoldChange	Up/Down	Position	Significant
8	0.7896295963848979	up	chr12:102984775-103057265:-	yes
10	-0.6061234788537921	down	chr7:29090535-29097091:-	yes
12	2.4609877883842644	up	chr12:102149734-102267269:-	yes
32	-0.5927923781184459	down	chr6:7625169-7643254:-	yes
35	0.8425995542565015	up	chr6:5675639-5978039:+	yes
42	2.5734524835807973	up	chr4:132530010-132557825:+	yes
43	-1.6125222034076352	down	chr12:8954735-8978834:+	yes
44	-0.9784153438826813	down	chr1:72205807-72258881:-	yes
90	1.8761768777247068	up	chrX:54484662-54591906:-	yes
95	-0.9848172206159128	down	chr13:13529869-13604542:+	yes
116	3.0731074854780083	up	chr19:34548276-34549625:-	yes
132	0.5976622090494692	up	chr15:99125518-99147449:+	yes
135	1.0385773021410958	up	chr15:99252466-99288179:-	yes
152	0.8310033667629103	up	chr13:45485111-45507388:+	yes
154	-1.207923719056463	down	chr17:43153504-43226137:+	yes
159	0.6719455352970314	up	chr17:43778849-43804125:-	yes
163	-0.9740656075120616	down	chr17:41060000-41071996:-	yes
177	1.0521443061884037	up	chr9:115993415-116084383:-	yes
210	1.3524896357882803	up	chr11:75345196-75391077:+	yes
269	-1.1871702836741262	down	chr8:54672221-54724419:-	yes
274	-1.6087770551949294	down	chr2:71366170-71372038:+	yes
304	3.9180209800363626	up	chr14:9128788-9150537:-	yes
320	-1.9102519274862808	down	chr11:100002124-100009979:-	yes
323	-1.0886741370629969	down	chr11:98854257-98885503:-	yes
346	-0.6367968802686976	down	chr8:73197147-73202651:+	yes
355	5.530904634386528	up	chr13:51780898-51796410:-	yes
391	-1.0773837215519146	down	chr7:134400473-134404223:-	yes
405	2.718559103041832	up	chr9:51021795-51048184:+	yes
464	-0.6115803676743539	down	chr4:142857334-142889467:-	yes
466	1.1147855241025817	up	chr4:130469040-130492056:+	yes
469	1.19079281352712	up	chr1:137221384-137264642:+	yes
475	-0.5982895519970047	down	chr5:92435100-92472068:-	yes
481	0.775210144237393	up	chr9:58004080-58006949:-	yes
483	1.21724195716649	up	chr8:13175162-13200620:-	yes
497	-0.7913777468045727	down	chr1:74552632-74577418:+	yes
500	0.917115201569777	up	chr1:74421777-74432636:+	yes
517	1.8709040554394147	up	chr6:141197790-141447872:+	yes
518	0.8451817377967953	up	chr12:85771673-85791900:-	yes
526	-1.6208724353519397	down	chr3:57229236-57245599:+	yes
527	-1.4101676041514268	down	chr3:57089533-57105841:-	yes
536	0.7071073824071762	up	chr2:30040644-30061367:-	yes
541	-0.8272135873942833	down	chr11:120345927-120350379:+	yes
545	1.4435929034277175	up	chr7:119259533-119302571:-	yes
569	-0.5921083307609074	down	chr8:97387728-97400212:-	yes
608	-0.7400408784759624	down	chr7:52717065-52722268:-	yes
619	1.4947918112331826	up	chr10:87321010-87399792:+	yes
631	-0.7192016529398328	down	chr19:6116004-6118586:-	yes
635	-1.4574398423102701	down	chr19:6084983-6091777:+	yes
652	-1.0857347544971407	down	chr10:75012870-75023075:-	yes
654	1.3979256531983617	up	chr19:12535269-12539774:+	yes
655	-1.3197590901927794	down	chr11:102766843-102786438:-	yes
664	2.054596039916576	up	chr2:31951048-31966340:+	yes
679	1.0974355776667768	up	chr7:133920469-133924028:+	yes
697	4.881352570495513	up	chrX:132749318-132760639:+	yes
718	-0.6343299207818194	down	chr13:120251566-120274924:+	yes
721	0.6522129436496689	up	chr9:108349989-108354708:-	yes
730	3.6784536077675294	up	chr16:4480216-4541816:-	yes
731	0.7053976394614819	up	chr9:108199184-108203902:+	yes
764	-0.9379780025419332	down	chr2:154385143-154395628:-	yes
767	-1.336456839454939	down	chr2:172181690-172196035:-	yes
769	1.0739301105170238	up	chr3:7366604-7445366:+	yes
770	-1.1379349853467249	down	chr3:134875527-134936504:+	yes
833	-0.6702604372289569	down	chr14:60020846-60059721:-	yes
840	4.705684374594771	up	chr2:62339000-62412132:-	yes
843	-1.134035035112499	down	chr8:59990640-59994796:+	yes
885	2.6187321817118496	up	chr11:94828975-94829770:+	yes
896	1.9743750314299773	up	chr2:76542037-76820604:-	yes
917	3.800649536819593	up	chr2:26876883-26883518:-	yes
956	3.1520530985215864	up	chr1:66970869-66991978:-	yes
1017	-0.9856601335598462	down	chr11:100953137-100956750:-	yes
1031	-0.6955899504759628	down	chr5:35292094-35382293:+	yes
1062	2.433049802909449	up	chr11:121217435-121249565:-	yes
1064	6.044499752209477	up	chr19:42110528-42119600:+	yes
1065	4.530471368015184	up	chr11:121296227-121311805:+	yes
1074	1.2255916234576492	up	chr7:31198807-31202596:+	yes
1096	-1.4883768521929843	down	chr8:98349254-98350033:+	yes
1188	1.5638657361331507	up	chr9:5308828-5336783:+	yes
1211	-0.6404182348424444	down	chr1:151947254-151955140:+	yes
1213	1.0269856043448695	up	chr9:110379462-110427683:+	yes
1230	-1.060762351220922	down	chr15:81534678-81560349:-	yes
1232	-0.7563360456056744	down	chr15:81494319-81518745:+	yes
1242	-0.7609788894191076	down	chr2:155576853-155581207:+	yes
1244	1.922974604154008	up	chr7:107641846-107650529:+	yes
1270	5.836425312495218	up	chr5:37419574-37539240:+	yes
